,a,ai,ao,an,ang,e,ei,en,eng,er,o,ong,ou,i,ia,iao,ie,iu,ian,iang,in,ing,iong,u,ua,uo,ue,ui,uai,uan,uang,un,v,ve
Ã¸,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
b,1,1,1,1,1,,1,1,1,,1,,,1,,1,1,,1,1,1,1,,1,,,,,,,,,,
p,1,1,1,1,1,,1,1,1,,1,,1,1,1,1,1,,1,,1,1,,1,,,,,,,,1,,
m,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,1,1,,1,1,,1,,,,,,,,,,
f,1,1,,1,1,,1,1,1,,1,,1,,,1,,,,,,,,1,,,,,,,,,,
d,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,1,1,,
t,1,1,1,1,1,1,1,,1,,,1,1,1,,1,1,,1,,,1,,1,,1,,1,,1,,1,,
n,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,,1,1,1
l,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,,1,,1,1,1
z,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,,,,,1,,1,,1,,1,,1,,
c,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,,,,,1,,1,,1,,1,,1,,
s,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,,,,,1,,1,,1,,1,,1,,
zh,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,,,,,1,1,1,,1,1,1,1,1,,
ch,1,1,1,1,1,1,,1,1,,,1,1,1,,,,,,,,,,1,1,1,,1,1,1,1,1,,
sh,1,1,1,1,1,1,1,1,1,,,,1,1,,,,,,,,,,1,1,1,,1,1,1,1,1,,
r,,,1,1,1,1,,1,1,,,1,1,1,,,,,,,,,,1,1,1,,1,,1,,1,,
j,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,1,,,1,,1,,
q,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,1,,,1,,1,,
x,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,1,,,1,,1,,
g,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,1,1,,1,1,1,,1,1,1,1,1,,
k,1,1,1,1,1,1,1,1,1,,,1,1,,,,,1,,1,,,,1,1,1,,1,1,1,1,1,,
h,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,1,1,1,,1,1,1,1,1,,
y,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,1,1,,1,,,1,,,1,,1,,
w,1,1,,1,1,,1,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,