Pathways	HMMs	reactants	products	formula	Source
Acetogenesis	fthfs_NF010030.hmm, K14138.hmm, K01938.hmm	hydrogen + carbon dioxide	acetate	2 HCO3- + 4 H2 + H+ -> CH3COO- + 4 H2O	10.1016/j.ijhydene.2020.12.058
Methanogenesis	TIGR03256.hmm, TIGR03257.hmm, TIGR03259.hmm, K00402.hmm, K04480.hmm	hydrogen + carbon dioxide	methane	HCO3- + 4 H2 + H+ -> CH4 + 3 H2O	10.1016/j.ijhydene.2020.12.058
Iron reduction	MtrA.hmm, MtrB_TIGR03509.hmm, MtrC_TIGR03507.hmm, CymA.hmm, OmcF.hmm, OmcS.hmm, OmcZ.hmm, Ndh2.hmm, DFE_0450.hmm, DFE_0464.hmm	hydrogen + feIII	feII	2 FeOOH + H2 + 4 H+ -> 2 Fe2+ + 4 H2O	10.1016/j.ijhydene.2020.12.058
Sulfate+Sulfite reduction	aprA.hmm, TIGR00339.hmm; asrA.hmm, asrB.hmm, asrC.hmm, dsrA.hmm, dsrB.hmm, dsrD.hmm	hydrogen + sulfate	hydrogen sulfide	SO42- + 4 H2 + H+ -> HS- + 4 H2O	10.1016/j.ijhydene.2020.12.058
Sulfur reduction	K16952.hmm, K17219.hmm, K17220.hmm, K17221.hmm	hydrogen + sulfur	hydrogen sulfide	H2 + S -> H2S	10.1016/j.ijhydene.2020.12.058
Denitrification	TIGR01706.hmm, PF03892.hmm, TIGR01580.hmm, TIGR01660.hmm; TIGR02376.hmm, nitrite_reductase_nirS.hmm, TIGR04315.hmm; nitric_oxide_reductase_norB.hmm, nitric_oxide_reductase_norC.hmm; PF05048.hmm, TIGR04246.hmm	hydrogen + sulfate	nitrogen	2 NO3- + 5 H2 + 2 H+ -> N2 + 6 H2O	10.1016/j.ijhydene.2020.12.058
					
Fermentation from lactate		lactate	acetate + propionate + carbon dioxyde + water	3 CH3H5O3- > CH3COO- + 2 C3H5O2- + CO2 + H2O	10.1111/j.1574-6968.2002.tb11204.x
Propionate oxidation		propionate + water	acetate + carbon dioxyde + hydrogen	C3H5O2- + 2 H2O > C2H3O2- + CO2 + 3 H2	10.1128/aem.66.7.2934-2942.2000
Acetate oxidation		acetate + water	carbon dioxyde + hydrogen + proton	C2H5O2- + 4 H2O -> 2 HCO3- + 4 H2 + H+	10.1007/BF00402133
Methane oxidation		methane + water	carbon dioxyde + hydrogen	CH4 + 2H2O -> CO2 + 4H2; CH4+ 2O2 -> HCO3- + H+ H2O	10.1046/j.1462-2920.2000.00135.x; 10.1089/ast.2006.0119
Hydrogen oxidation		hydrogen + oxygen	water	2H2 + O2 -> 2H2O	10.1016/j.scitotenv.2022.155559
Hydrogen generation		Proton + electron	hydrogen	2 H+ + 2e- -> 2 H2	10.1021/cr4005814
Ethanol oxidation		ethanol	carbon dioxyde		
Ethanol oxidation (acetogen)		ethanol + carbon dioxyde	acetate + ATP	2 C2H5OH + 2 CO2 -> 3 C2H3O2H	10.1111/1462-2920.13082
Lactate to ethanol					10.1016/j.biotechadv.2021.107863
					
Sulfur oxidation		sulfur + water + oxygen	hydrogen sulfide + sulfite	4 S + 4 H2O + O2 = 2 H2S + 2 H2SO3	Ec:1.13.11.55
Sulfite oxidation		sulfite	sulfate	SO3 + H2O -> SO42- + 2 H+	10.1016/j.bbabio.2010.09.004
Sulfide oxidation		sulfide	sulfur	H2S+ 2 ferricytochrome c <=> S + 2 ferrocytochrome c + 2 H+	EcÂ :1.8.2.3
Thiosulfate oxidation		thiosulfate	sulfate	S2O3- + 5 H2O + 8 ferricytochrome c <=> 2 SO42- + 8 ferrocytochrome c + 10 H+	KEGG reaciton R10151
Thiosulfate dispropornation 1		thiosulfate	sulfide, sulfite	S2O3-  + a quinol = SO3 + H2S + a quinone	KEGG reaction R11488
Thiosulfate dispropornation 2		thiosulfate	sulfur, sulfate	S2O3-  + 5 H2O + 8 ferricytochrome c <=> 2 SO42- + 8 ferrocytochrome c + 10 H+	KEGG reaction R10151
					
Iron oxidation		hydrogen + feIII	feII	10 Fe2+ + 2NO3- + 24 H2O -> 10 Fe(OH)3 + N2 + 18 H+	10.1038/nrmicro1490, 10.2113/gselements.7.2.89 
					
Nitrogen fixation	TIGR01861.hmm, TIGR02931.hmm, TIGR02929.hmm, TIGR01282.hmm, TIGR01286.hmm, TIGR01860.hmm, TIGR02932.hmm, TIGR02930.hmm, TIGR01287.hmm	nitrogen	ammonia	N2 + 8e- + 16 ATP + 8 H+ -> 2 NH3 + H2 + 16 ADP -> + 16 Piu	10.1021/cr400641x
Ammonia oxidation	amoA.hmm, amoB.hmm, amoC.hmm	ammonia	nitrite	NH4 + a reduced acceptor + O2 = NH2OH + an acceptor + H2O, NH2OH + H2O + 4 ferricytochrome c <=> NO + 4 ferrocytochrome c + 5 H+	KEGG reaction R09519 + R10164, 10.1093/femsle/fny058
Nitrite oxidation	nitrite_oxidoreductase_nxrA.hmm, nitrite_oxidoreductase_nxrB.hmm	nitrite	nitrate	NO2- + a acceptor + H2O = NO3- + a  reduced acceptor	KEGG reaction R00798
Nitrite ammonification	TIGR03153.hmm, PF02335.hmm, TIGR03148.hmm, TIGR02374.hmm, TIGR02378.hmm	nitrite	ammonia	NO + 6 H + 2H+ -> NH4+ + 2H2O	10.1111/j.1574-6976.2002.tb00616.x
Anammox	hydrazine_oxidase_hzoA.hmm, hydrazine_synthase_hzsA.hmm	nitrite; ammonia	nitrogen	4 NO + 4 NH4+ -> N2H4 + 4 H2O + 3 N2  + 4 H+	10.1038/nature10453
